Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q7ZXY0		Q9DG02	P13608	Q5E9T8				
Q5R806		Q8QGP3	P50053	Q66JT7				
Q9WUW8		A2AKM2	P60522	Q2YDS5				
Q15125		P04323	Q9R087	P35033				
Q07203			Q5R5D8	Q8UVC3				
Q16566			Q0VD22	Q969F9				
O77737			P80405	P36551				
P80971			O14975	Q9ER38				
Q6YJI5			Q6L711	Q923G2				
Q96IP4			P04146	Q568L5				
Q86SQ9			Q5D013	Q0V947				
Q15853			P20849	Q9I8J6				
Q3ZC25			Q91YN9	Q59HJ6				
O14645			Q9BX93	F1Q8K0				
Q96CW9			O95789	Q08602				
Q99L13			Q8IZU9	Q5RG49				
B5DGK1			O57524	P38024				
Q5RBK1			Q6IE52	Q92093				
Q9UKG9			P21927	Q8IY81				
A0A0G2KQY6			Q804T6	Q4FZF3				
B0BNL6			Q9H840	Q6P3H4				
Q9QZS5			Q9Y257	Q05519				
B1PHQ8			P12938	Q5RF83				
Q99L45			O35293	Q5T619				
Q9Z0J5			Q8CEQ0	Q7ZVQ8				
Q5M8Z0			P02301	Q6NYT1				
Q9Z1X9			P70665	Q5BLZ2				
Q6NSJ0			O18767	Q9UNS1				
Q32LQ4			Q6P5U7	Q6WCQ1				
Q32LQ4			Q26422	Q60HD0				
Q6NWZ9			P59822	Q12931				
Q4V909			Q58L93	Q5T2N8				
P70274			Q6NWK2	Q9GLP1				
Q32P65			Q92090	Q9NQZ2				
Q00779			O42146	Q6DIH3				
Q2V8Y7			Q65Z54	Q6R2W3				
O15034			P02457	P11966				
P35072			Q68FA2	A4D0S4				
A9C3P0			Q5H8C1	Q6PF21				
O93343			Q28C60	Q8JGS0				
Q5RC10			P04323	O43432				
Q99JH1			O70303	Q5SSJ5				
P13821			O75121	Q96SZ6				
P98095			P51792	P17136				
Q9GKY7				Q58DT4				
Q9H3L0				Q9JJB9				
Q1L864				Q5R5J1				
O55128				P84104				
Q6DRP2				Q8N302				
Q99KK7				Q9JK81				
Q569Z5				P12864				
Q9GKT2				Q99PW8				
Q6DI37				Q6DBU5				
